77	34	1	23	32	4	0	0
12	25	0	32	23	19	0	0
119	102	3	13	14	6	0	0
50	75	2	14	13	10	0	0
75	92	5	8	9	10	0	0
53	110	4	9	8	3	0	0
67	56	7	1	20	8	0	0
25	45	6	20	1	19	0	0
47	11	9	5	16	16	0	0
101	38	8	16	5	5	0	0
107	100	11	15	16	14	0	0
8	85	10	16	15	16	0	0
18	1	13	31	32	19	0	0
35	48	12	32	31	13	0	0
60	69	15	29	35	12	0	0
36	65	14	35	29	17	0	0
85	47	17	10	12	16	0	0
70	50	16	12	10	10	0	0
62	12	19	7	31	19	0	0
49	88	18	31	7	0	0	0
87	114	21	0	3	5	0	0
109	44	20	3	0	2	0	0
95	42	23	2	18	14	0	0
104	98	22	18	2	2	0	0
57	76	25	20	23	1	0	0
1	7	24	23	20	19	0	0
97	78	27	4	22	15	0	0
30	112	26	22	4	1	0	0
117	53	29	28	30	3	0	0
81	60	28	30	28	12	0	0
94	27	31	21	22	1	0	0
79	54	30	22	21	7	0	0
73	115	33	25	38	4	0	0
90	79	32	38	25	7	0	0
0	83	35	32	33	4	0	0
37	13	34	33	32	13	0	0
82	15	37	33	35	17	0	0
68	35	36	35	33	13	0	0
9	87	39	5	6	5	0	0
63	46	38	6	5	11	0	0
65	82	41	26	27	17	0	0
72	97	40	27	26	15	0	0
22	107	43	18	19	14	0	0
102	105	42	19	18	6	0	0
21	66	45	0	1	2	0	0
7	86	44	1	0	19	0	0
39	71	47	5	12	11	0	0
16	8	46	12	5	16	0	0
13	68	49	31	34	13	0	0
80	19	48	34	31	0	0	0
17	3	51	10	14	10	0	0
103	84	50	14	10	18	0	0
93	80	53	9	30	0	0	0
28	5	52	30	9	3	0	0
31	90	55	21	37	7	0	0
100	95	54	37	21	14	0	0
6	58	57	20	36	8	0	0
112	24	56	36	20	1	0	0
56	111	59	36	39	8	0	0
116	113	58	39	36	9	0	0
29	14	61	28	29	12	0	0
64	116	60	29	28	9	0	0
86	18	63	6	7	19	0	0
89	39	62	7	6	11	0	0
96	61	65	26	29	9	0	0
15	40	64	29	26	17	0	0
44	104	67	1	17	2	0	0
118	6	66	17	1	8	0	0
48	37	69	34	35	13	0	0
14	81	68	35	34	12	0	0
92	17	71	11	12	10	0	0
46	89	70	12	11	11	0	0
78	41	73	25	27	15	0	0
83	32	72	27	25	4	0	0
111	118	75	8	13	8	0	0
3	4	74	13	8	10	0	0
24	99	77	23	24	1	0	0
108	0	76	24	23	4	0	0
26	72	79	22	25	15	0	0
33	31	78	25	22	7	0	0
52	49	81	30	34	0	0	0
69	29	80	34	30	12	0	0
40	36	83	27	33	17	0	0
34	73	82	33	27	4	0	0
51	106	85	10	15	18	0	0
11	16	84	15	10	16	0	0
45	62	87	0	6	19	0	0
38	20	86	6	0	5	0	0
19	93	89	7	11	0	0	0
71	63	88	11	7	11	0	0
54	33	91	37	38	7	0	0
114	101	90	38	37	5	0	0
4	70	93	9	11	10	0	0
88	52	92	11	9	0	0	0
99	30	95	2	21	1	0	0
55	22	94	21	2	14	0	0
113	64	97	4	26	9	0	0
41	26	96	26	4	15	0	0
23	109	99	2	24	2	1	0
76	94	98	24	2	1	-1	0
10	55	101	16	37	14	0	-1
91	9	100	37	16	5	0	1
2	43	103	14	19	6	0	-1
106	51	102	19	14	18	0	1
66	23	105	17	18	2	-1	-1
43	119	104	18	17	6	1	1
84	103	107	15	19	18	0	-1
42	10	106	19	15	14	0	1
115	77	109	3	24	4	0	-1
98	21	108	24	3	2	0	1
5	117	111	8	39	3	1	0
58	74	110	39	8	8	-1	0
27	57	113	4	36	1	1	0
59	96	112	36	4	9	-1	0
20	91	115	3	38	5	0	-1
32	108	114	38	3	4	0	1
61	59	117	28	39	9	1	0
110	28	116	39	28	3	-1	0
74	67	119	13	17	8	1	0
105	2	118	17	13	6	-1	0
